Handle,Title,Body (HTML),Sort Order,Template Suffix,Published,Image Src,Image Alt Text,SEO Title,SEO Description,Collection Type,Rules Column 1 Type,Rules Column 1 Relation,Rules Column 1 Condition,Rules Column 2 Type,Rules Column 2 Relation,Rules Column 2 Condition
zene,Žene,"<p>Otkrijte najnovije trendove za žene. Od elegantnih kaputa do svakodnevnih komada - pronađite svoj savršeni stil.</p>",best-selling,,true,https://images.unsplash.com/photo-1483985988355-763728e1935b?w=1200,Ženska kolekcija,Žene | Milutin,Otkrijte najnovije modne trendove za žene u Milutin online prodavnici,smart,tag,equals,žene,,,
muskarci,Muškarci,"<p>Moderna muška moda za svaku priliku. Klasični komadi i savremeni stilovi.</p>",best-selling,,true,https://images.unsplash.com/photo-1507680434567-5739c80be1ac?w=1200,Muška kolekcija,Muškarci | Milutin,Moderna muška moda za svaku priliku u Milutin online prodavnici,smart,tag,equals,muškarci,,,
novo,Novo,"<p>Najnoviji dodaci u našoj kolekciji. Budite prvi koji će nositi najsvežije trendove.</p>",created-desc,,true,https://images.unsplash.com/photo-1445205170230-053b83016050?w=1200,Nova kolekcija,Novo | Milutin,Najnoviji dodaci u Milutin kolekciji - budite prvi,smart,tag,equals,novo,,,
kaputi,Kaputi,"<p>Elegantni kaputi za hladne dane. Vuneni, kašmir i prošiveni modeli.</p>",best-selling,,true,https://images.unsplash.com/photo-1539533018447-63fcce2678e3?w=1200,Kaputi kolekcija,Kaputi | Milutin,Elegantni kaputi za hladne dane - vuneni i kašmir modeli,smart,product_type,equals,Kaputi,,,
haljine,Haljine,"<p>Haljine za svaku priliku. Od svakodnevnih do večernjih modela.</p>",best-selling,,true,https://images.unsplash.com/photo-1595777457583-95e059d581b8?w=1200,Haljine kolekcija,Haljine | Milutin,Haljine za svaku priliku - svakodnevne i večernje,smart,product_type,equals,Haljine,,,
dzemperi,Džemperi,"<p>Topli i udobni džemperi za zimske dane. Vuneni i pleteni modeli.</p>",best-selling,,true,https://images.unsplash.com/photo-1576566588028-4147f3842f27?w=1200,Džemperi kolekcija,Džemperi | Milutin,Topli i udobni džemperi za zimske dane,smart,product_type,equals,Džemperi,,,
pantalone,Pantalone,"<p>Moderne pantalone za svaki stil. Od klasičnih do trendy modela.</p>",best-selling,,true,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?w=1200,Pantalone kolekcija,Pantalone | Milutin,Moderne pantalone za svaki stil života,smart,product_type,equals,Pantalone,,,
sakoi,Sakoi,"<p>Strukturirani sakoi za profesionalni i svečani izgled.</p>",best-selling,,true,https://images.unsplash.com/photo-1591369822096-ffd140ec948f?w=1200,Sakoi kolekcija,Sakoi | Milutin,Strukturirani sakoi za profesionalni izgled,smart,product_type,equals,Sakoi,,,
kosulје,Košulje,"<p>Klasične i moderne košulje za svaku garderobu.</p>",best-selling,,true,https://images.unsplash.com/photo-1598033129183-c4f50c736f10?w=1200,Košulje kolekcija,Košulje | Milutin,Klasične i moderne košulje za svaku garderobu,smart,product_type,equals,Košulje,,,
suknje,Suknje,"<p>Elegantne suknje raznih dužina i stilova.</p>",best-selling,,true,https://images.unsplash.com/photo-1583496661160-fb5886a0edd0?w=1200,Suknje kolekcija,Suknje | Milutin,Elegantne suknje raznih dužina i stilova,smart,product_type,equals,Suknje,,,
majice,Majice,"<p>Basic i stilizovane majice za svakodnevno nošenje.</p>",best-selling,,true,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=1200,Majice kolekcija,Majice | Milutin,Basic i stilizovane majice za svaki dan,smart,product_type,equals,Majice,,,
torbe,Torbe,"<p>Kožne i tekstilne torbe za svaku priliku.</p>",best-selling,,true,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=1200,Torbe kolekcija,Torbe | Milutin,Kožne i tekstilne torbe za svaku priliku,smart,product_type,equals,Torbe,,,
aksesori,Aksesori,"<p>Šalovi, kape, nakit i drugi modni dodaci.</p>",best-selling,,true,https://images.unsplash.com/photo-1520903920243-00d872a2d1c9?w=1200,Aksesori kolekcija,Aksesori | Milutin,Šalovi kape nakit i drugi modni dodaci,smart,tag,equals,aksesori,,,
snizenje,Sniženje,"<p>Specijalne ponude i sniženi artikli. Iskoristite priliku!</p>",best-selling,,true,https://images.unsplash.com/photo-1607083206869-4c7672e72a8a?w=1200,Sniženje kolekcija,Sniženje | Milutin,Specijalne ponude i sniženi artikli do -50%,smart,compare_at_price,greater_than,0,,,
zima,Zimska Kolekcija,"<p>Topli komadi za zimsku sezonu. Kaputi, džemperi, šalovi i više.</p>",best-selling,,true,https://images.unsplash.com/photo-1516762689617-e1cffcef479d?w=1200,Zimska kolekcija,Zimska Kolekcija | Milutin,Topli komadi za zimsku sezonu - kaputi džemperi šalovi,smart,tag,equals,zima,,,
